text,source,PORNOGRAFI,SARA,RADIKALISME,PENCEMARAN_NAMA_BAIK
woi anjing bodoh provinsi paling banyak ngerusak ngebakar gereja jatim kamu sebut provinsi lumbung nasbung jatim provinsi penghasil gembong teroris terbanyak jateng kamu sebut lumbung nasbung jateng ngarang stereotip kok piliah pilih bangsat kamu pecun,kaskus,0,0,0,1
saja nitizen penasaran keluarga besar sudah pada tahu situ kalau urusan nya diurusin orang ngamuk ngedumel memberikan makan enga sibuk ngurusin urusan aku yakan orang pnya cara masng buat mensyukuri kebahagianya publis yang disimpen yang pntng tujuanya apa terus kalau soal hijrahnya habib iya berarti alah memberikan jalanya lewat situ kan jalan hijrah manusia masingmasing pintunya jangan so tahu makanya,instagram,0,0,0,0
sidangahok semoga sipenista agama ateknya matinya wjar jasadnya dtrma tanah dia pernah mrs kan surga amin semoga tuhan setuju,twitter,0,1,1,1
jakarta barusan baca undang tetap dibedakan kok presiden mantan presiden bagian mantan presiden termasuk pengamanan anak menantu hanya mantan presiden beserta istri suami itu masuk situ mungkin vip mana yang rakyat biasa bisa kroscek mas ngegas,instagram,0,0,0,0
buat anak melulu kamu nof mikir apa kasian anak kamu akan malu punya bapak kelakuan kaya kamu,kaskus,0,0,0,0
membuktikan rakyat malaysia anti cina indonesia juga masih malu tungu gerakan anti cina indonesia,kaskus,0,1,0,1
kontol jan sok pemes kamu rp muka memek orang tua kamu monyet agama kamu aje agama kontol ,twitter,1,0,0,1
eh memek diam kamu kepala kamu kaya kontol muka kamu kaya memek dasar gigolo punya penyakit kelamin iya kamu,twitter,1,0,0,0
mungkin akibat memakai gorden kepala menghambat aliran oksigen otak menyebabkan intelejensia menurun drastis sampe lihat miskiner kriditan bawa motor terpesona buka hati buka paha,kaskus,0,0,0,0
e kakak nona paling bodoh bodoh manokwari sekarang so jadi ibu kota provinsi papua barat kakak bodoh jangan dipiara kakak e,twitter,0,0,0,0
swimwear punya majikan dicolong dasar babu tahu diri cepat kembalikan x jam minta maf kamu siap dipasung,instagram,0,0,0,0
